application_number,sponsor_name,brand_name,product_number,reference_drug,active_ingredients,referenced_standard,dosage_form,route,marketing_status
ANDA083772,DELL LABS,PYRIDOXINE HYDROCHLORIDE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA083775,DELL LABS,THIAMINE HYDROCHLORIDE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA083778,LEGACY PHARMA,PRAMOSONE,001,No,,No,CREAM,TOPICAL,Prescription
ANDA083784,IVAX SUB TEVA PHARMS,MECLIZINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA083790,NUMARK,PHENDIMETRAZINE TARTRATE,001,No,,No,TABLET,ORAL,Discontinued
ANDA083790,NUMARK,MELFIAT,002,No,,No,TABLET,ORAL,Discontinued
ANDA083809,WHITEWORTH TOWN PLSN,HYDROCHLOROTHIAZIDE,002,No,,No,TABLET,ORAL,Discontinued
ANDA083809,WHITEWORTH TOWN PLSN,HYDROCHLOROTHIAZIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA083821,WATSON LABS,BROMPHENIRAMINE MALEATE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA083855,WATSON LABS,TRICHLORMETHIAZIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA083858,MARSHALL PHARMA,SODIUM BUTABARBITAL,001,No,,No,TABLET,ORAL,Discontinued
ANDA083870,SANDOZ,PROPOXYPHENE HYDROCHLORIDE,002,No,,No,CAPSULE,ORAL,Discontinued
ANDA083902,GLAXOSMITHKLINE,DEXEDRINE,001,No,,No,ELIXIR,ORAL,Discontinued
ANDA083943,DELCOR ASSET CORP,KENALOG,001,Yes,,No,CREAM,TOPICAL,Discontinued
ANDA084014,SANDOZ,PROPOXYPHENE HYDROCHLORIDE,001,No,,No,CAPSULE,ORAL,Discontinued
ANDA084080,TABLICAPS,PROMETHAZINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA084107,MUTUAL PHARM,HYDRALAZINE HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Discontinued
NDA018069,PFIZER,VANSIL,001,No,,No,CAPSULE,ORAL,Discontinued
ANDA084113,UPSHER SMITH LABS,CHLORPROMAZINE HYDROCHLORIDE,001,Yes,,No,TABLET,ORAL,Prescription
ANDA084114,UPSHER SMITH LABS,CHLORPROMAZINE HYDROCHLORIDE,001,Yes,,Yes,TABLET,ORAL,Prescription
ANDA084158,PHARMERAL,FOLIC ACID,001,No,,No,TABLET,ORAL,Discontinued
ANDA084169,SOLA BARNES HIND,PREDNISOLONE SODIUM PHOSPHATE,001,No,,No,SOLUTION/DROPS,OPHTHALMIC,Discontinued
ANDA084181,IVAX SUB TEVA PHARMS,MEPROBAMATE,001,No,,No,TABLET,ORAL,Discontinued
ANDA084211,AUROBINDO PHARMA USA,PROBENECID,002,No,,No,TABLET,ORAL,Discontinued
ANDA084218,REED AND CARNRICK,KWELL,002,No,,No,LOTION,TOPICAL,Discontinued
ANDA084218,REED AND CARNRICK,KWELL,001,No,,No,CREAM,TOPICAL,Discontinued
ANDA084222,ABBOTT,PROMETHAZINE HYDROCHLORIDE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA084241,PARKE DAVIS,METHYLTESTOSTERONE,001,No,,No,TABLET,ORAL,Discontinued
ANDA084252,WATSON LABS,IMIPRAMINE HYDROCHLORIDE,002,No,,No,TABLET,ORAL,Discontinued
ANDA084259,MYLAN,METHOCARBAMOL,001,No,,No,TABLET,ORAL,Discontinued
ANDA084264,WEST WARD,CYANOCOBALAMIN,001,No,,No,TABLET,ORAL,Discontinued
ANDA084270,WATSON LABS,TRIAMCINOLONE,001,No,,No,TABLET,ORAL,Discontinued
ANDA084316,WYETH AYERST,DIMENHYDRINATE,001,No,,No,INJECTABLE,INJECTION,Discontinued
ANDA084325,LANNETT CO INC,HYDROCHLOROTHIAZIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA084331,WEST WARD,METHYLTESTOSTERONE,001,No,,No,TABLET,ORAL,Discontinued
ANDA084331,WEST WARD,METHYLTESTOSTERONE,002,No,,No,TABLET,ORAL,Discontinued
ANDA084341,HEATHER,PREDNISONE,001,No,,No,TABLET,ORAL,Discontinued
NDA007883,TEVA WOMENS,ANTABUSE,002,Yes,,No,TABLET,ORAL,Discontinued
NDA007883,TEVA WOMENS,ANTABUSE,003,Yes,,No,TABLET,ORAL,Discontinued
ANDA084399,UPSHER SMITH LABS,PHENDIMETRAZINE TARTRATE,001,No,,No,TABLET,ORAL,Discontinued
ANDA084437,IVAX SUB TEVA PHARMS,HYDRALAZINE HYDROCHLORIDE,001,No,,No,TABLET,ORAL,Discontinued
ANDA084444,ROBINS AH,PHENAPHEN W/ CODEINE NO. 2,001,No,,No,CAPSULE,ORAL,Discontinued
